年月,单量,货值
2015/1/1,382533,106012471
2015/2/1,235942,65130912
2015/3/1,728644,195668708
2015/4/1,598371,149758408
2015/5/1,721276,176866218
2015/6/1,700103,157346762
2015/7/1,899824,171494056
2015/8/1,884158,176657683
2015/9/1,1212304,262056927
2015/10/1,1736613,366330040
2015/11/1,3558100,651913125
2015/12/1,2315153,453354285
2016/1/1,2348693,483534775
2016/2/1,1436546,290798005
2016/3/1,2982836,573839831
2016/4/1,2122247,421637993
2016/5/1,1660835,316979273
2016/6/1,2038320,377716504
2016/7/1,1801714,317077867
2016/8/1,2030503,350635578
2016/9/1,1972016,367009732
2016/10/1,1988656,386511139
2016/11/1,5580430,979801578
2016/12/1,2595320,505261480
2017/1/1,2033190,387096336
2017/2/1,2360518,447821125
2017/3/1,2821163,522556324
2017/4/1,2312656,410294477
2017/5/1,2470910,440756631
2017/6/1,3743333,678398772
2017/7/1,2624594,439498599
2017/8/1,3547464,579723345
2017/9/1,3458814,598822084
2017/10/1,3566808,606352010
2017/11/1,10533365,182582170
2017/12/1,5610029,959882131
2018/1/1,6100461,1071060567
2018/2/1,3509961,614699285
2018/3/1,7029055,1222908120
2018/4/1,6012311,984231197
2018/5/1,6248362,1030304953
2018/6/1,8813758,1506912057
2018/7/1,5904405,940359720
2018/8/1,6980764,1149663762
2018/9/1,6946066,1158211762
2018/10/1,6220290,1015637589
2018/11/1,13338983,2457922986
2018/12/1,6770442,1176215257
2019/1/1,6566792,1195339616
2019/2/1,6174346,1061132701
2019/3/1,8891052,1630482817
2019/4/1,7857505,1377626566
2019/5/1,8092145,1413673349
2019/6/1,12291145,2338147710
2019/7/1,7302733,1335230444
2019/8/1,8776424,1592440760
2019/9/1,8375757,1644685012
2019/10/1,7493861,1421797973
2019/11/1,18373325,3756428530
2019/12/1,9221833,1789934389
2020/1/1,7575209,1474910585
2020/2/1,7930429,1612688268
2020/3/1,11915248,2506809990
2020/4/1,9223949,1979690431
2020/5/1,8507354,1875115894
2020/6/1,13123802,3110240735
2020/7/1,7369105,1584260816
2020/8/1,9009053,1911062956
2020/9/1,8677735,1873747726
2020/10/1,7988084,1639263626
2020/11/1,19326519,4394564810
2020/12/1,9192381,1890741064
2021/1/1,10133525,2095860695
2021/2/1,6187861,1301106161
2021/3/1,11307479,2414090328
2021/4/1,8682875,1798340069
2021/5/1,8834215,1743504195
2021/6/1,13964340,3094748887
2021/7/1,8040326,1537617985
2021/8/1,9484106,1927190687
2021/9/1,9241119,1850999853
2021/10/1,8844583,1844718622
2021/11/1,18121731,4211547876
2021/12/1,9443147,2034786381
2022/1/1,7652347,1712637446
2022/2/1,8743887,1794240666
2022/3/1,9839409,2207184138
